Code,Name,Category,Description
1,You pressed Break. This is not considered an error.,General,You pressed Break. This is not considered an error.
2,connection timed out – see help r(2) for troubleshooting,General,"connection timed out – see help r(2) for troubleshooting An internet connection has timed out. This can happen when the initial attempt to make a connection over the internet has not succeeded within a certain time limit. You can change the time limit that Stata uses under this condition by typing set timeout1 #seconds. Or, the initial connection was successful, but a subsequent attempt to send or receive data over the internet has timed out."
3,no dataset in use,General,no dataset in use You attempted to perform a command requiring data and have no data in memory.
4,no; dataset in memory has changed since last saved,General,"no; dataset in memory has changed since last saved You attempted to perform a command that would substantively alter or destroy the data, and the data have not been saved, at least since the data were last changed. If you wish to continue anyway, add the clear option to the end of the command. Otherwise, save the data first."
5,not sorted,General,"not sorted master data not sorted using data not sorted The observations of the data are not in the order required. To solve the problem, use sort to sort the data then reissue the command; see [D] sort. In the second and third cases, both the dataset in memory and the dataset on disk must be sorted by the variables specified in the varlist of merge before they can be merged. merge automatically sorts the datasets for you, unless you specify the sorted option. You specified sorted, but your dataset is not sorted on the variables in varlist. Do not specify sorted."
6,Return code from confirm existence when string does not exist.,General,Return code from confirm existence when string does not exist.
7,‘ ’ found where expected,General,‘ ’ found where expected You are using a program that is using the confirm command to verify that what you typed makes sense. The messages indicate what you typed and what the program expected to find instead of what you typed.
9,assertion is false,General,"assertion is false no action taken Return code and message from assert when the assertion is false; see [D] assert. Or, you were using mvencode and requested that Stata change ‘.’ to # in the specified varlist, but # already existed in the varlist, so Stata refused; see [D] mvencode. error — Display generic error message and exit 195"
18,you must start with an empty dataset,General,"you must start with an empty dataset The command (for example, infile) requires that no data be in memory — you must drop all first. You are probably using infile to append additional data to the data in memory. Instead, save the data in memory, drop all, infile the new data, and then append the previously saved data; see [D] append."
100,varlist required,Syntax/Command,"varlist required = exp required using required by() option required Certain commands require a varlist or another element of the language. The message specifies the required item that was missing from the command you gave. See the command’s syntax diagram. For example, merge requires using to be specified; perhaps you meant to type append. Or, ranksum requires a by() option; see [R] ranksum."
